Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
O	DET	0	1	0	0	O Brasil venceu o jogo de futebol com grande atuação coletiva .
Brasil	PROPN	0	1	1	0	O Brasil venceu o jogo de futebol com grande atuação coletiva .
venceu	VERB	0	1	2	0	O Brasil venceu o jogo de futebol com grande atuação coletiva .
o	DET	0	1	3	0	O Brasil venceu o jogo de futebol com grande atuação coletiva .
jogo	NOUN	0	1	4	0	O Brasil venceu o jogo de futebol com grande atuação coletiva .
de	ADP	0	1	5	0	O Brasil venceu o jogo de futebol com grande atuação coletiva .
futebol	NOUN	0	1	6	0	O Brasil venceu o jogo de futebol com grande atuação coletiva .
com	ADP	0	1	7	0	O Brasil venceu o jogo de futebol com grande atuação coletiva .
grande	ADJ	0	1	8	0	O Brasil venceu o jogo de futebol com grande atuação coletiva .
atuação	NOUN	0	1	9	0	O Brasil venceu o jogo de futebol com grande atuação coletiva .
coletiva	ADJ	0	1	10	0	O Brasil venceu o jogo de futebol com grande atuação coletiva .
.	PUNCT	0	1	11	0	O Brasil venceu o jogo de futebol com grande atuação coletiva .
0	['DET', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1	0	1	O Brasil venceu o jogo de futebol com grande atuação coletiva .
A	DET	0	2	0	0	A inteligência artificial está transformando o mercado de trabalho .
inteligência	NOUN	0	2	1	0	A inteligência artificial está transformando o mercado de trabalho .
artificial	ADJ	0	2	2	0	A inteligência artificial está transformando o mercado de trabalho .
está	AUX	0	2	3	0	A inteligência artificial está transformando o mercado de trabalho .
transformando	VERB	0	2	4	0	A inteligência artificial está transformando o mercado de trabalho .
o	DET	0	2	5	0	A inteligência artificial está transformando o mercado de trabalho .
mercado	NOUN	0	2	6	0	A inteligência artificial está transformando o mercado de trabalho .
de	ADP	0	2	7	0	A inteligência artificial está transformando o mercado de trabalho .
trabalho	NOUN	0	2	8	0	A inteligência artificial está transformando o mercado de trabalho .
.	PUNCT	0	2	9	0	A inteligência artificial está transformando o mercado de trabalho .
1	['DET', 'NOUN', 'ADJ', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	2	1	1	A inteligência artificial está transformando o mercado de trabalho .
O	DET	0	3	0	0	O governo anunciou novas medidas econômicas para o próximo ano .
governo	NOUN	0	3	1	0	O governo anunciou novas medidas econômicas para o próximo ano .
anunciou	VERB	0	3	2	0	O governo anunciou novas medidas econômicas para o próximo ano .
novas	ADJ	0	3	3	0	O governo anunciou novas medidas econômicas para o próximo ano .
medidas	NOUN	0	3	4	0	O governo anunciou novas medidas econômicas para o próximo ano .
econômicas	ADJ	0	3	5	0	O governo anunciou novas medidas econômicas para o próximo ano .
para	ADP	0	3	6	0	O governo anunciou novas medidas econômicas para o próximo ano .
o	DET	0	3	7	0	O governo anunciou novas medidas econômicas para o próximo ano .
próximo	ADJ	0	3	8	0	O governo anunciou novas medidas econômicas para o próximo ano .
ano	NOUN	0	3	9	0	O governo anunciou novas medidas econômicas para o próximo ano .
.	PUNCT	0	3	10	0	O governo anunciou novas medidas econômicas para o próximo ano .
2	['DET', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	3	2	1	O governo anunciou novas medidas econômicas para o próximo ano .
Startups	PROPN	1	4	0	0	Startups brasileiras estão crescendo no setor de tecnologia .
